"localidade","cases","death","date"
"Bahrain","256","1","2020/3/19 9:41"
"Iceland","250","","2020/3/19 9:41"
"Saudi Arabia","238","","2020/3/19 9:41"
"Chile","238","","2020/3/19 9:41"
"Indonesia","227","19","2020/3/19 9:41"
"Thailand","212","1","2020/3/19 9:41"
"Egypt","210","6","2020/3/19 9:41"
"Luxembourg","203","2","2020/3/19 9:41"
"Philippines","202","17","2020/3/19 9:41"
"Hong Kong","193","4","2020/3/19 9:41"
"Turkey","191","2","2020/3/19 9:41"
"India","169","3","2020/3/19 9:41"
"Ecuador","168","3","2020/3/19 9:41"
"Iraq","164","12","2020/3/19 9:41"
"Russia","147","","2020/3/19 9:41"
"Peru","145","","2020/3/19 9:41"
"Kuwait","142","","2020/3/19 9:41"
"San Marino","140","14","2020/3/19 9:41"
"Lebanon","133","4","2020/3/19 9:41"
"South Africa","116","","2020/3/19 9:41"
"UAE","113","","2020/3/19 9:41"
"Armenia","110","","2020/3/19 9:41"
"Panama","109","1","2020/3/19 9:41"
"Slovakia","105","","2020/3/19 9:41"
"Taiwan","100","1","2020/3/19 9:41"
"Argentina","97","2","2020/3/19 9:41"
"Mexico","93","","2020/3/19 9:41"
"Colombia","93","","2020/3/19 9:41"
"Bulgaria","92","2","2020/3/19 9:41"
"Croatia","89","","2020/3/19 9:41"
"Serbia","89","","2020/3/19 9:41"
"Uruguay","79","","2020/3/19 9:41"
"Vietnam","76","","2020/3/19 9:41"
"Algeria","75","7","2020/3/19 9:41"
"Latvia","71","","2020/3/19 9:41"
"Costa Rica","69","1","2020/3/19 9:41"
"Brunei","68","","2020/3/19 9:41"
"Albania","59","2","2020/3/19 9:41"
"Hungary","58","1","2020/3/19 9:41"
"Cyprus","58","","2020/3/19 9:41"
"Faeroe Islands","58","","2020/3/19 9:41"
"Jordan","56","","2020/3/19 9:41"
"Morocco","54","2","2020/3/19 9:41"
"Andorra","53","","2020/3/19 9:41"
"Belarus","51","","2020/3/19 9:41"
"Sri Lanka","51","","2020/3/19 9:41"
"Malta","48","","2020/3/19 9:41"
"Palestine","44","","2020/3/19 9:41"
"North Macedonia","43","","2020/3/19 9:41"
"Oman","39","","2020/3/19 9:41"
"Bosnia and Herzegovina","39","","2020/3/19 9:41"
"Georgia","38","","2020/3/19 9:41"
"Cambodia","37","","2020/3/19 9:41"
"Moldova","36","1","2020/3/19 9:41"
"Senegal","36","","2020/3/19 9:41"
"Kazakhstan","36","","2020/3/19 9:41"
"Venezuela","36","","2020/3/19 9:41"
"Dominican Republic","34","2","2020/3/19 9:41"
"Azerbaijan","34","1","2020/3/19 9:41"
"Lithuania","34","","2020/3/19 9:41"
"Guadeloupe","33","","2020/3/19 9:41"
"Tunisia","29","","2020/3/19 9:41"
"Liechtenstein","28","","2020/3/19 9:41"
